Soil_Type,Soil_Moisture_Level,Soil_Nitrogen_Level (N),Soil_Phosphorus_Level (P),Soil_Potassium_Level (K),Rainfall,Region_Name,Season,Recommended_Crops
Loamy,11.00%,36,58,46,657 mm,Andhra Pradesh,Zaid,"['Barley', 'Maize', 'Wheat']"
Loamy,48.00%,59,75,26,827 mm,West Bengal,Kharif,"['Maize', 'Wheat']"
Loamy,35.00%,81,38,96,1022 mm,West Bengal,Zaid,"['Maize', 'Wheat', 'Barley']"
Clayey,26.00%,100,31,45,396 mm,West Bengal,Zaid,"['Jute', 'Sugarcane']"
Clayey,35.00%,36,73,59,332 mm,Punjab,Rabi,"['Jute', 'Rice', 'Sugarcane']"
Clayey,31.00%,109,66,49,899 mm,Karnataka,Zaid,"['Jute', 'Rice']"
Black Cotton Soil,15.00%,94,65,33,331 mm,Maharashtra,Kharif,['Soybean']
Sandy Loam,20.00%,100,33,30,848 mm,Karnataka,Zaid,['Groundnut']
Black Cotton Soil,50.00%,82,51,59,1087 mm,Karnataka,Kharif,"['Sorghum', 'Cotton', 'Soybean']"
Clayey,24.00%,87,43,106,1166 mm,Tamil Nadu,Rabi,"['Sugarcane', 'Rice', 'Jute']"
Loamy,13.00%,42,47,79,1185 mm,Maharashtra,Zaid,"['Maize', 'Barley', 'Wheat']"
Loamy,14.00%,52,27,99,813 mm,Odisha,Zaid,"['Barley', 'Maize']"
Sandy Loam,53.00%,74,24,77,822 mm,Tamil Nadu,Kharif,"['Groundnut', 'Cotton']"
Loamy,19.00%,61,34,83,606 mm,Odisha,Kharif,['Wheat']
Sandy Loam,38.00%,89,30,103,961 mm,Punjab,Zaid,"['Cotton', 'Chickpea', 'Groundnut']"
Clayey,53.00%,73,51,23,866 mm,Maharashtra,Kharif,['Rice']
Silty Loam,13.00%,42,56,20,1050 mm,Punjab,Zaid,"['Pulses', 'Mustard']"
Silty Loam,55.00%,95,27,72,1026 mm,Maharashtra,Rabi,['Vegetables']
Silty Loam,38.00%,104,85,91,366 mm,West Bengal,Zaid,"['Mustard', 'Vegetables', 'Pulses']"
Clayey,44.00%,33,39,25,469 mm,Punjab,Zaid,"['Jute', 'Rice']"
Loamy,28.00%,60,34,60,947 mm,Maharashtra,Kharif,"['Barley', 'Wheat', 'Maize']"
Sandy Loam,34.00%,118,51,110,855 mm,Punjab,Kharif,['Chickpea']
Black Cotton Soil,49.00%,79,49,30,362 mm,Andhra Pradesh,Rabi,"['Cotton', 'Sorghum']"
Clayey,42.00%,77,54,54,560 mm,Maharashtra,Kharif,"['Rice', 'Sugarcane']"
Black Cotton Soil,27.00%,71,44,46,683 mm,Andhra Pradesh,Zaid,"['Soybean', 'Sorghum', 'Cotton']"
Clayey,13.00%,98,29,65,877 mm,Odisha,Zaid,"['Sugarcane', 'Jute']"
Clayey,47.00%,110,56,37,1143 mm,Andhra Pradesh,Zaid,"['Sugarcane', 'Jute']"
Sandy Loam,22.00%,70,64,59,441 mm,Tamil Nadu,Kharif,['Chickpea']
Black Cotton Soil,37.00%,37,87,32,682 mm,Andhra Pradesh,Rabi,"['Sorghum', 'Cotton']"
Black Cotton Soil,59.00%,79,81,80,849 mm,Tamil Nadu,Zaid,['Cotton']
Loamy,13.00%,36,80,57,842 mm,Andhra Pradesh,Rabi,['Maize']
Loamy,49.00%,40,24,49,1062 mm,Punjab,Rabi,"['Barley', 'Wheat', 'Maize']"
Silty Loam,27.00%,75,76,42,796 mm,Maharashtra,Rabi,"['Pulses', 'Mustard']"
Loamy,36.00%,76,40,88,1019 mm,Maharashtra,Zaid,['Maize']
Sandy Loam,50.00%,32,77,62,745 mm,Andhra Pradesh,Zaid,"['Chickpea', 'Cotton', 'Groundnut']"
Clayey,59.00%,118,45,92,423 mm,Andhra Pradesh,Rabi,"['Rice', 'Sugarcane']"
Clayey,20.00%,90,88,46,392 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Silty Loam,47.00%,114,89,31,382 mm,Karnataka,Rabi,"['Mustard', 'Vegetables']"
Clayey,51.00%,91,39,47,1132 mm,Tamil Nadu,Rabi,['Jute']
Black Cotton Soil,31.00%,64,34,29,712 mm,Andhra Pradesh,Zaid,"['Cotton', 'Sorghum']"
Loamy,36.00%,70,34,70,1154 mm,Odisha,Zaid,['Wheat']
Silty Loam,47.00%,66,47,48,886 mm,Andhra Pradesh,Kharif,"['Pulses', 'Mustard']"
Silty Loam,35.00%,46,31,91,863 mm,Andhra Pradesh,Zaid,"['Pulses', 'Mustard']"
Black Cotton Soil,42.00%,72,77,73,1052 mm,Odisha,Rabi,['Soybean']
Black Cotton Soil,39.00%,40,26,56,787 mm,Punjab,Zaid,"['Cotton', 'Soybean']"
Loamy,52.00%,54,66,84,879 mm,Odisha,Kharif,['Wheat']
Loamy,38.00%,45,82,50,1151 mm,West Bengal,Zaid,['Maize']
Sandy Loam,21.00%,60,83,29,936 mm,Karnataka,Rabi,"['Cotton', 'Chickpea']"
Sandy Loam,25.00%,68,84,26,660 mm,West Bengal,Zaid,"['Groundnut', 'Cotton']"
Silty Loam,46.00%,78,78,80,354 mm,Odisha,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Clayey,18.00%,115,75,85,313 mm,West Bengal,Kharif,['Sugarcane']
Silty Loam,26.00%,89,44,44,834 mm,Andhra Pradesh,Rabi,"['Mustard', 'Pulses']"
Silty Loam,34.00%,71,78,98,1102 mm,Maharashtra,Rabi,"['Vegetables', 'Pulses']"
Silty Loam,26.00%,60,86,44,1074 mm,Tamil Nadu,Rabi,"['Pulses', 'Vegetables', 'Mustard']"
Black Cotton Soil,50.00%,75,33,110,358 mm,Andhra Pradesh,Kharif,"['Soybean', 'Sorghum']"
Black Cotton Soil,48.00%,120,63,52,907 mm,Tamil Nadu,Zaid,"['Cotton', 'Soybean']"
Clayey,56.00%,51,22,87,1011 mm,Tamil Nadu,Kharif,"['Jute', 'Rice']"
Sandy Loam,18.00%,82,81,108,835 mm,West Bengal,Rabi,"['Groundnut', 'Cotton']"
Black Cotton Soil,43.00%,87,84,66,305 mm,Odisha,Kharif,"['Sorghum', 'Cotton', 'Soybean']"
Sandy Loam,19.00%,34,22,74,954 mm,Karnataka,Kharif,['Groundnut']
Sandy Loam,39.00%,52,53,23,873 mm,Odisha,Zaid,"['Chickpea', 'Cotton', 'Groundnut']"
Sandy Loam,55.00%,67,74,97,519 mm,Punjab,Kharif,"['Chickpea', 'Cotton']"
Clayey,52.00%,53,76,100,590 mm,Odisha,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Loamy,37.00%,102,47,69,835 mm,West Bengal,Zaid,"['Barley', 'Wheat', 'Maize']"
Loamy,41.00%,84,78,52,637 mm,Punjab,Rabi,"['Maize', 'Barley']"
Loamy,56.00%,110,29,100,483 mm,Punjab,Zaid,['Maize']
Black Cotton Soil,37.00%,39,45,103,321 mm,Odisha,Rabi,['Cotton']
Clayey,51.00%,96,22,98,819 mm,Punjab,Kharif,['Sugarcane']
Clayey,12.00%,106,28,55,770 mm,Punjab,Kharif,"['Rice', 'Jute', 'Sugarcane']"
Black Cotton Soil,25.00%,85,25,75,719 mm,Andhra Pradesh,Rabi,['Sorghum']
Black Cotton Soil,23.00%,40,58,34,1153 mm,Odisha,Rabi,"['Sorghum', 'Cotton']"
Sandy Loam,56.00%,38,59,70,607 mm,Andhra Pradesh,Rabi,['Cotton']
Silty Loam,24.00%,43,77,41,357 mm,Odisha,Rabi,['Pulses']
Black Cotton Soil,21.00%,117,32,100,514 mm,Andhra Pradesh,Rabi,"['Soybean', 'Sorghum']"
Sandy Loam,13.00%,98,51,79,473 mm,West Bengal,Rabi,"['Groundnut', 'Chickpea']"
Sandy Loam,12.00%,66,62,110,682 mm,Punjab,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Sandy Loam,54.00%,82,68,29,897 mm,Odisha,Rabi,"['Groundnut', 'Chickpea']"
Loamy,32.00%,70,65,52,322 mm,Tamil Nadu,Rabi,"['Barley', 'Maize']"
Clayey,54.00%,74,62,57,815 mm,Maharashtra,Zaid,"['Sugarcane', 'Rice']"
Clayey,15.00%,120,67,110,380 mm,Maharashtra,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Loamy,21.00%,97,60,90,546 mm,Andhra Pradesh,Rabi,"['Wheat', 'Barley', 'Maize']"
Clayey,32.00%,114,76,25,1185 mm,Punjab,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Loamy,13.00%,70,51,89,554 mm,Punjab,Kharif,"['Barley', 'Maize']"
Sandy Loam,21.00%,115,42,85,912 mm,Punjab,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Clayey,56.00%,32,23,64,588 mm,Odisha,Kharif,['Jute']
Clayey,57.00%,74,51,44,510 mm,West Bengal,Kharif,['Sugarcane']
Black Cotton Soil,59.00%,114,65,44,988 mm,Odisha,Kharif,['Sorghum']
Clayey,31.00%,31,24,75,889 mm,Tamil Nadu,Rabi,"['Jute', 'Sugarcane']"
Clayey,34.00%,95,75,24,1088 mm,Tamil Nadu,Zaid,"['Rice', 'Sugarcane']"
Clayey,31.00%,95,78,96,1171 mm,Odisha,Kharif,['Jute']
Clayey,17.00%,115,82,68,724 mm,Odisha,Zaid,"['Jute', 'Sugarcane', 'Rice']"
Silty Loam,55.00%,115,38,68,651 mm,Punjab,Rabi,"['Vegetables', 'Pulses']"
Black Cotton Soil,32.00%,60,38,42,958 mm,Maharashtra,Rabi,['Soybean']
Loamy,44.00%,109,85,60,617 mm,Maharashtra,Zaid,"['Maize', 'Barley', 'Wheat']"
Black Cotton Soil,11.00%,116,50,76,788 mm,Punjab,Kharif,"['Sorghum', 'Soybean']"
Sandy Loam,11.00%,75,51,96,961 mm,West Bengal,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Silty Loam,37.00%,50,76,83,1030 mm,West Bengal,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Silty Loam,10.00%,65,48,69,498 mm,Punjab,Zaid,"['Mustard', 'Vegetables']"
Loamy,33.00%,98,74,24,514 mm,Karnataka,Zaid,['Barley']
Silty Loam,28.00%,92,44,40,777 mm,Odisha,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Black Cotton Soil,30.00%,77,60,62,925 mm,Karnataka,Kharif,"['Soybean', 'Cotton']"
Silty Loam,56.00%,54,27,37,490 mm,Maharashtra,Kharif,['Mustard']
Loamy,16.00%,40,63,41,398 mm,Karnataka,Zaid,"['Barley', 'Maize', 'Wheat']"
Silty Loam,56.00%,33,57,21,1188 mm,Tamil Nadu,Rabi,['Pulses']
Black Cotton Soil,28.00%,105,89,31,469 mm,Maharashtra,Rabi,"['Cotton', 'Sorghum', 'Soybean']"
Black Cotton Soil,31.00%,70,39,47,458 mm,Maharashtra,Zaid,"['Sorghum', 'Soybean']"
Sandy Loam,31.00%,52,52,67,766 mm,Odisha,Zaid,"['Groundnut', 'Chickpea', 'Cotton']"
Silty Loam,10.00%,118,46,55,981 mm,Maharashtra,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Clayey,30.00%,36,56,81,855 mm,Karnataka,Rabi,"['Jute', 'Sugarcane', 'Rice']"
Loamy,13.00%,82,28,53,474 mm,Andhra Pradesh,Kharif,"['Maize', 'Barley', 'Wheat']"
Silty Loam,38.00%,62,76,67,830 mm,Karnataka,Rabi,"['Vegetables', 'Pulses']"
Black Cotton Soil,17.00%,101,29,33,309 mm,West Bengal,Zaid,['Cotton']
Loamy,32.00%,43,25,54,921 mm,Punjab,Zaid,"['Wheat', 'Barley']"
Silty Loam,24.00%,78,80,71,733 mm,West Bengal,Rabi,"['Pulses', 'Mustard']"
Loamy,20.00%,34,21,90,529 mm,Karnataka,Zaid,['Barley']
Black Cotton Soil,13.00%,114,32,89,1037 mm,Karnataka,Rabi,"['Cotton', 'Soybean']"
Clayey,49.00%,66,22,107,1008 mm,Karnataka,Kharif,['Jute']
Sandy Loam,20.00%,77,76,70,694 mm,Tamil Nadu,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Sandy Loam,15.00%,88,41,32,866 mm,Karnataka,Kharif,"['Groundnut', 'Cotton']"
Clayey,31.00%,30,75,92,786 mm,Odisha,Rabi,"['Jute', 'Rice']"
Clayey,15.00%,119,46,47,1181 mm,Karnataka,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Loamy,24.00%,112,36,20,591 mm,Punjab,Zaid,"['Maize', 'Barley', 'Wheat']"
Loamy,47.00%,67,21,26,1189 mm,West Bengal,Zaid,"['Barley', 'Wheat']"
Clayey,51.00%,119,54,99,438 mm,Maharashtra,Rabi,"['Jute', 'Rice', 'Sugarcane']"
Black Cotton Soil,39.00%,64,21,40,706 mm,Punjab,Zaid,"['Sorghum', 'Cotton']"
Silty Loam,27.00%,105,43,88,979 mm,Maharashtra,Zaid,['Vegetables']
Clayey,32.00%,105,85,86,726 mm,West Bengal,Kharif,"['Sugarcane', 'Jute']"
Silty Loam,35.00%,112,23,20,686 mm,Maharashtra,Kharif,"['Mustard', 'Pulses']"
Clayey,15.00%,36,57,88,569 mm,West Bengal,Kharif,['Jute']
Sandy Loam,46.00%,52,78,75,652 mm,Maharashtra,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Clayey,41.00%,77,83,43,569 mm,Odisha,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Black Cotton Soil,17.00%,45,32,100,411 mm,Andhra Pradesh,Zaid,"['Sorghum', 'Soybean', 'Cotton']"
Black Cotton Soil,51.00%,58,32,95,754 mm,Punjab,Rabi,"['Sorghum', 'Cotton', 'Soybean']"
Loamy,57.00%,103,44,38,1037 mm,Odisha,Zaid,['Barley']
Clayey,16.00%,98,86,106,885 mm,Punjab,Rabi,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,54.00%,35,23,92,678 mm,Maharashtra,Rabi,"['Groundnut', 'Chickpea', 'Cotton']"
Sandy Loam,21.00%,108,64,74,586 mm,Andhra Pradesh,Kharif,"['Chickpea', 'Cotton', 'Groundnut']"
Black Cotton Soil,44.00%,103,25,50,839 mm,Tamil Nadu,Zaid,['Soybean']
Clayey,24.00%,77,87,21,769 mm,Tamil Nadu,Zaid,"['Jute', 'Rice']"
Black Cotton Soil,55.00%,68,62,36,840 mm,Tamil Nadu,Rabi,"['Soybean', 'Cotton', 'Sorghum']"
Black Cotton Soil,16.00%,56,72,103,618 mm,Punjab,Kharif,"['Cotton', 'Sorghum', 'Soybean']"
Sandy Loam,34.00%,75,29,37,403 mm,Tamil Nadu,Zaid,"['Chickpea', 'Groundnut']"
Sandy Loam,57.00%,41,58,103,814 mm,West Bengal,Kharif,['Groundnut']
Silty Loam,10.00%,92,45,34,914 mm,Odisha,Rabi,"['Mustard', 'Vegetables']"
Loamy,56.00%,99,39,24,1179 mm,Punjab,Kharif,"['Maize', 'Wheat', 'Barley']"
Loamy,56.00%,112,44,36,731 mm,Odisha,Rabi,"['Wheat', 'Maize', 'Barley']"
Clayey,13.00%,109,47,51,937 mm,Odisha,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Clayey,15.00%,46,80,110,998 mm,Karnataka,Rabi,"['Jute', 'Sugarcane']"
Silty Loam,49.00%,65,84,50,653 mm,Maharashtra,Rabi,['Vegetables']
Clayey,39.00%,98,25,24,991 mm,Maharashtra,Rabi,['Jute']
Sandy Loam,36.00%,36,41,46,315 mm,Punjab,Kharif,['Chickpea']
Silty Loam,19.00%,55,37,84,757 mm,West Bengal,Rabi,['Vegetables']
Sandy Loam,21.00%,45,59,93,1110 mm,Punjab,Rabi,"['Chickpea', 'Cotton']"
Sandy Loam,48.00%,60,56,21,389 mm,Tamil Nadu,Kharif,['Chickpea']
Loamy,47.00%,112,86,101,674 mm,Odisha,Kharif,"['Barley', 'Maize']"
Clayey,13.00%,100,45,81,977 mm,Odisha,Zaid,"['Jute', 'Sugarcane']"
Clayey,42.00%,89,45,34,440 mm,West Bengal,Kharif,['Jute']
Black Cotton Soil,28.00%,92,66,34,565 mm,Andhra Pradesh,Rabi,"['Soybean', 'Cotton']"
Clayey,38.00%,63,82,81,633 mm,Odisha,Rabi,"['Jute', 'Rice']"
Black Cotton Soil,59.00%,70,22,107,1151 mm,Punjab,Zaid,['Sorghum']
Loamy,49.00%,118,50,110,1111 mm,Andhra Pradesh,Kharif,"['Barley', 'Maize']"
Silty Loam,18.00%,66,61,48,1071 mm,Punjab,Rabi,"['Pulses', 'Mustard']"
Sandy Loam,56.00%,119,63,83,332 mm,Maharashtra,Kharif,['Groundnut']
Loamy,22.00%,120,72,30,437 mm,Andhra Pradesh,Kharif,['Maize']
Loamy,23.00%,51,80,61,456 mm,Odisha,Rabi,"['Wheat', 'Maize', 'Barley']"
Clayey,15.00%,99,89,68,416 mm,Tamil Nadu,Kharif,['Rice']
Loamy,60.00%,34,84,59,636 mm,West Bengal,Rabi,"['Wheat', 'Barley']"
Silty Loam,16.00%,49,51,48,780 mm,Andhra Pradesh,Rabi,"['Pulses', 'Mustard']"
Sandy Loam,16.00%,97,38,21,1069 mm,Punjab,Rabi,"['Chickpea', 'Groundnut']"
Black Cotton Soil,26.00%,76,65,35,832 mm,Karnataka,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Clayey,22.00%,91,55,72,1020 mm,Punjab,Rabi,"['Jute', 'Rice', 'Sugarcane']"
Clayey,41.00%,74,79,61,797 mm,West Bengal,Rabi,['Jute']
Clayey,11.00%,81,74,98,775 mm,Odisha,Zaid,['Jute']
Sandy Loam,44.00%,57,64,88,941 mm,Andhra Pradesh,Zaid,['Chickpea']
Sandy Loam,15.00%,84,83,89,483 mm,West Bengal,Zaid,"['Chickpea', 'Groundnut', 'Cotton']"
Clayey,36.00%,45,67,43,542 mm,Karnataka,Rabi,"['Jute', 'Sugarcane', 'Rice']"
Black Cotton Soil,33.00%,81,53,37,373 mm,Karnataka,Zaid,"['Cotton', 'Soybean', 'Sorghum']"
Clayey,45.00%,76,59,27,549 mm,Andhra Pradesh,Zaid,"['Rice', 'Sugarcane']"
Silty Loam,13.00%,63,74,62,809 mm,Odisha,Rabi,"['Vegetables', 'Mustard']"
Black Cotton Soil,52.00%,35,75,59,1049 mm,Punjab,Kharif,['Sorghum']
Black Cotton Soil,26.00%,91,47,65,655 mm,Karnataka,Zaid,"['Soybean', 'Cotton', 'Sorghum']"
Sandy Loam,35.00%,32,20,70,1169 mm,Andhra Pradesh,Rabi,['Chickpea']
Black Cotton Soil,14.00%,96,22,72,565 mm,Odisha,Zaid,['Soybean']
Clayey,33.00%,65,87,72,792 mm,Karnataka,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Black Cotton Soil,42.00%,90,71,93,813 mm,Tamil Nadu,Zaid,"['Cotton', 'Sorghum']"
Silty Loam,40.00%,77,70,81,632 mm,Punjab,Kharif,"['Mustard', 'Pulses']"
Clayey,11.00%,100,76,108,1026 mm,Maharashtra,Rabi,['Jute']
Loamy,43.00%,44,79,88,1072 mm,Odisha,Rabi,"['Wheat', 'Maize', 'Barley']"
Sandy Loam,32.00%,51,75,24,1136 mm,Odisha,Zaid,"['Chickpea', 'Groundnut', 'Cotton']"
Sandy Loam,33.00%,61,38,103,726 mm,Karnataka,Rabi,"['Cotton', 'Chickpea']"
Silty Loam,24.00%,61,72,63,799 mm,Maharashtra,Kharif,"['Mustard', 'Pulses', 'Vegetables']"
Black Cotton Soil,48.00%,92,81,98,979 mm,West Bengal,Zaid,"['Cotton', 'Soybean']"
Silty Loam,23.00%,101,26,60,943 mm,Punjab,Rabi,"['Vegetables', 'Pulses']"
Loamy,34.00%,120,30,67,914 mm,West Bengal,Kharif,"['Wheat', 'Maize']"
Loamy,34.00%,109,71,101,698 mm,Tamil Nadu,Kharif,"['Wheat', 'Barley', 'Maize']"
Silty Loam,12.00%,50,82,88,777 mm,Tamil Nadu,Rabi,"['Pulses', 'Mustard', 'Vegetables']"
Silty Loam,17.00%,82,58,56,1120 mm,Tamil Nadu,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Silty Loam,52.00%,83,21,74,1142 mm,Tamil Nadu,Zaid,['Mustard']
Loamy,44.00%,70,20,39,968 mm,Tamil Nadu,Zaid,"['Maize', 'Barley', 'Wheat']"
Loamy,42.00%,53,69,66,781 mm,Andhra Pradesh,Rabi,"['Maize', 'Barley']"
Clayey,20.00%,116,65,53,1075 mm,Tamil Nadu,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Loamy,35.00%,58,20,73,537 mm,West Bengal,Zaid,['Wheat']
Clayey,14.00%,99,28,79,364 mm,Maharashtra,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Clayey,46.00%,93,43,98,1165 mm,Odisha,Rabi,"['Jute', 'Rice', 'Sugarcane']"
Sandy Loam,52.00%,66,40,98,911 mm,Odisha,Rabi,['Chickpea']
Clayey,22.00%,99,54,95,1154 mm,Maharashtra,Rabi,"['Sugarcane', 'Jute', 'Rice']"
Black Cotton Soil,20.00%,107,82,78,542 mm,Andhra Pradesh,Kharif,['Soybean']
Silty Loam,26.00%,106,78,96,332 mm,Andhra Pradesh,Kharif,['Mustard']
Silty Loam,16.00%,35,72,85,927 mm,West Bengal,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Sandy Loam,58.00%,118,82,59,903 mm,Odisha,Kharif,['Cotton']
Sandy Loam,36.00%,80,61,81,626 mm,Andhra Pradesh,Rabi,"['Chickpea', 'Groundnut']"
Clayey,17.00%,107,86,100,319 mm,West Bengal,Kharif,['Rice']
Loamy,59.00%,101,52,65,987 mm,Odisha,Zaid,"['Wheat', 'Maize']"
Loamy,43.00%,31,32,92,410 mm,Tamil Nadu,Rabi,"['Maize', 'Wheat']"
Sandy Loam,33.00%,94,73,110,630 mm,Odisha,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Silty Loam,55.00%,32,74,38,437 mm,Karnataka,Zaid,"['Mustard', 'Vegetables']"
Black Cotton Soil,31.00%,57,90,45,1031 mm,Odisha,Zaid,"['Sorghum', 'Cotton']"
Sandy Loam,57.00%,52,67,94,723 mm,Andhra Pradesh,Zaid,"['Cotton', 'Chickpea']"
Black Cotton Soil,43.00%,64,21,81,1053 mm,Andhra Pradesh,Kharif,"['Sorghum', 'Soybean', 'Cotton']"
Black Cotton Soil,32.00%,102,31,23,1076 mm,Odisha,Rabi,"['Soybean', 'Cotton', 'Sorghum']"
Black Cotton Soil,58.00%,70,32,20,717 mm,Odisha,Kharif,"['Cotton', 'Soybean']"
Loamy,54.00%,36,34,36,836 mm,West Bengal,Kharif,"['Barley', 'Wheat', 'Maize']"
Sandy Loam,21.00%,40,41,77,717 mm,Karnataka,Zaid,"['Groundnut', 'Chickpea', 'Cotton']"
Sandy Loam,55.00%,52,55,98,890 mm,West Bengal,Rabi,"['Chickpea', 'Cotton']"
Sandy Loam,21.00%,91,33,48,717 mm,Odisha,Rabi,"['Chickpea', 'Groundnut']"
Silty Loam,48.00%,106,41,65,332 mm,Odisha,Rabi,"['Pulses', 'Vegetables', 'Mustard']"
Loamy,44.00%,72,82,45,866 mm,Tamil Nadu,Zaid,"['Barley', 'Maize', 'Wheat']"
Silty Loam,39.00%,36,42,25,939 mm,Karnataka,Rabi,['Mustard']
Silty Loam,60.00%,58,47,24,789 mm,Punjab,Rabi,"['Vegetables', 'Pulses', 'Mustard']"
Clayey,53.00%,113,88,87,972 mm,Tamil Nadu,Rabi,"['Rice', 'Sugarcane']"
Silty Loam,24.00%,35,34,30,978 mm,Maharashtra,Rabi,"['Pulses', 'Mustard']"
Silty Loam,24.00%,117,53,72,949 mm,Maharashtra,Kharif,['Mustard']
Sandy Loam,37.00%,38,72,48,705 mm,Karnataka,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Clayey,47.00%,35,37,31,624 mm,Maharashtra,Kharif,"['Rice', 'Jute', 'Sugarcane']"
Loamy,30.00%,69,41,67,497 mm,Andhra Pradesh,Zaid,"['Wheat', 'Barley', 'Maize']"
Sandy Loam,10.00%,30,42,83,1052 mm,West Bengal,Kharif,['Groundnut']
Loamy,19.00%,43,39,71,1039 mm,Karnataka,Zaid,"['Maize', 'Wheat', 'Barley']"
Black Cotton Soil,32.00%,68,37,80,550 mm,Odisha,Rabi,"['Sorghum', 'Cotton']"
Sandy Loam,10.00%,75,79,108,334 mm,Odisha,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Black Cotton Soil,13.00%,114,63,77,893 mm,West Bengal,Kharif,"['Sorghum', 'Cotton']"
Silty Loam,12.00%,51,82,20,942 mm,Tamil Nadu,Rabi,"['Vegetables', 'Pulses']"
Silty Loam,49.00%,97,85,31,553 mm,Tamil Nadu,Kharif,"['Vegetables', 'Pulses', 'Mustard']"
Loamy,45.00%,94,47,88,638 mm,Maharashtra,Kharif,"['Barley', 'Maize']"
Loamy,25.00%,36,29,95,333 mm,Tamil Nadu,Kharif,['Wheat']
Sandy Loam,59.00%,41,38,54,344 mm,Punjab,Rabi,"['Cotton', 'Groundnut', 'Chickpea']"
Black Cotton Soil,13.00%,86,57,89,1102 mm,Punjab,Kharif,['Sorghum']
Black Cotton Soil,23.00%,113,32,74,907 mm,West Bengal,Zaid,['Cotton']
Sandy Loam,34.00%,95,78,44,362 mm,West Bengal,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
